element_tran,node1,node2
O=CC[*:3] --->>>--- CN(C)C=C[*:3],O=CC[*:3],CN(C)C=C[*:3]
O=CC[*:1] --->>>--- ClC=C[*:1],O=CC[*:1],ClC=C[*:1]
O=CC[*:2] --->>>--- ClC=C[*:2],O=CC[*:2],ClC=C[*:2]
O=CC[*:3] --->>>--- ClC=C[*:3],O=CC[*:3],ClC=C[*:3]
O=CC[*:1] --->>>--- CCN1C(=CC=C[*:1])Sc2ccccc21,O=CC[*:1],CCN1C(=CC=C[*:1])Sc2ccccc21
O=CC[*:2] --->>>--- CCN1C(=CC=C[*:2])Sc2ccccc21,O=CC[*:2],CCN1C(=CC=C[*:2])Sc2ccccc21
O=CC[*:3] --->>>--- CCN1C(=CC=C[*:3])Sc2ccccc21,O=CC[*:3],CCN1C(=CC=C[*:3])Sc2ccccc21
O=CC[*:1] --->>>--- CCN1/C(=C/C=C[*:1])Sc2ccccc21,O=CC[*:1],CCN1/C(=C/C=C[*:1])Sc2ccccc21
O=CC[*:2] --->>>--- CCN1/C(=C/C=C[*:2])Sc2ccccc21,O=CC[*:2],CCN1/C(=C/C=C[*:2])Sc2ccccc21
O=CC[*:3] --->>>--- CCN1/C(=C/C=C[*:3])Sc2ccccc21,O=CC[*:3],CCN1/C(=C/C=C[*:3])Sc2ccccc21
O=c1oc2cc(N(C[*:1])C[*:1])ccc2cc1[*:1] --->>>--- c1cc([*:1])sc1N([*:1])[*:1],O=c1oc2cc(N(C[*:1])C[*:1])ccc2cc1[*:1],c1cc([*:1])sc1N([*:1])[*:1]
O=c1oc2cc(N(C[*:2])C[*:2])ccc2cc1[*:2] --->>>--- c1cc([*:2])sc1N([*:2])[*:2],O=c1oc2cc(N(C[*:2])C[*:2])ccc2cc1[*:2],c1cc([*:2])sc1N([*:2])[*:2]
O=c1oc2cc(N(C[*:3])C[*:3])ccc2cc1[*:3] --->>>--- c1cc([*:3])sc1N([*:3])[*:3],O=c1oc2cc(N(C[*:3])C[*:3])ccc2cc1[*:3],c1cc([*:3])sc1N([*:3])[*:3]
O=c1oc2cc(N(C[*:1])C[*:1])ccc2cc1[*:1] --->>>--- c1cc([*:1])ccc1N([*:1])[*:1],O=c1oc2cc(N(C[*:1])C[*:1])ccc2cc1[*:1],c1cc([*:1])ccc1N([*:1])[*:1]
O=c1oc2cc(N(C[*:2])C[*:2])ccc2cc1[*:2] --->>>--- c1cc([*:2])ccc1N([*:2])[*:2],O=c1oc2cc(N(C[*:2])C[*:2])ccc2cc1[*:2],c1cc([*:2])ccc1N([*:2])[*:2]
O=c1oc2cc(N(C[*:3])C[*:3])ccc2cc1[*:3] --->>>--- c1cc([*:3])ccc1N([*:3])[*:3],O=c1oc2cc(N(C[*:3])C[*:3])ccc2cc1[*:3],c1cc([*:3])ccc1N([*:3])[*:3]
