element_tran,node1,node2
CN1C(=C[*:1])C(C)([*:1])c2ccccc21 --->>>--- CN1C(=CC=C[*:1])C(C)([*:1])c2ccccc21,CN1C(=C[*:1])C(C)([*:1])c2ccccc21,CN1C(=CC=C[*:1])C(C)([*:1])c2ccccc21
CN1C(=C[*:2])C(C)([*:2])c2ccccc21 --->>>--- CN1C(=CC=C[*:2])C(C)([*:2])c2ccccc21,CN1C(=C[*:2])C(C)([*:2])c2ccccc21,CN1C(=CC=C[*:2])C(C)([*:2])c2ccccc21
CN1C(=C[*:3])C(C)([*:3])c2ccccc21 --->>>--- CN1C(=CC=C[*:3])C(C)([*:3])c2ccccc21,CN1C(=C[*:3])C(C)([*:3])c2ccccc21,CN1C(=CC=C[*:3])C(C)([*:3])c2ccccc21
CN1C(=C[*:1])C(C)([*:1])c2ccccc21 --->>>--- CN1C(=C[*:1])C(C)([*:1])c2cc(C(=O)O)ccc21,CN1C(=C[*:1])C(C)([*:1])c2ccccc21,CN1C(=C[*:1])C(C)([*:1])c2cc(C(=O)O)ccc21
CN1C(=C[*:2])C(C)([*:2])c2ccccc21 --->>>--- CN1C(=C[*:2])C(C)([*:2])c2cc(C(=O)O)ccc21,CN1C(=C[*:2])C(C)([*:2])c2ccccc21,CN1C(=C[*:2])C(C)([*:2])c2cc(C(=O)O)ccc21
CN1C(=C[*:3])C(C)([*:3])c2ccccc21 --->>>--- CN1C(=C[*:3])C(C)([*:3])c2cc(C(=O)O)ccc21,CN1C(=C[*:3])C(C)([*:3])c2ccccc21,CN1C(=C[*:3])C(C)([*:3])c2cc(C(=O)O)ccc21
CN1C(=C[*:1])C(C)([*:1])c2ccccc21 --->>>--- CC1(C)C(=CC=C[*:1])N([*:1])c2ccccc21,CN1C(=C[*:1])C(C)([*:1])c2ccccc21,CC1(C)C(=CC=C[*:1])N([*:1])c2ccccc21
CN1C(=C[*:2])C(C)([*:2])c2ccccc21 --->>>--- CC1(C)C(=CC=C[*:2])N([*:2])c2ccccc21,CN1C(=C[*:2])C(C)([*:2])c2ccccc21,CC1(C)C(=CC=C[*:2])N([*:2])c2ccccc21
CN1C(=C[*:3])C(C)([*:3])c2ccccc21 --->>>--- CC1(C)C(=CC=C[*:3])N([*:3])c2ccccc21,CN1C(=C[*:3])C(C)([*:3])c2ccccc21,CC1(C)C(=CC=C[*:3])N([*:3])c2ccccc21
CN1C(=C[*:1])C(C)([*:1])c2ccccc21 --->>>--- CC1(C)C(=C[*:1])N([*:1])c2ccc(C(=O)O)cc21,CN1C(=C[*:1])C(C)([*:1])c2ccccc21,CC1(C)C(=C[*:1])N([*:1])c2ccc(C(=O)O)cc21
CN1C(=C[*:2])C(C)([*:2])c2ccccc21 --->>>--- CC1(C)C(=C[*:2])N([*:2])c2ccc(C(=O)O)cc21,CN1C(=C[*:2])C(C)([*:2])c2ccccc21,CC1(C)C(=C[*:2])N([*:2])c2ccc(C(=O)O)cc21
CN1C(=C[*:3])C(C)([*:3])c2ccccc21 --->>>--- CC1(C)C(=C[*:3])N([*:3])c2ccc(C(=O)O)cc21,CN1C(=C[*:3])C(C)([*:3])c2ccccc21,CC1(C)C(=C[*:3])N([*:3])c2ccc(C(=O)O)cc21
CN1C(=C[*:1])C(C)([*:1])c2ccccc21 --->>>--- C(=C[*:1])C=C1Sc2ccccc2N1C[*:1],CN1C(=C[*:1])C(C)([*:1])c2ccccc21,C(=C[*:1])C=C1Sc2ccccc2N1C[*:1]
CN1C(=C[*:2])C(C)([*:2])c2ccccc21 --->>>--- C(=C[*:2])C=C1Sc2ccccc2N1C[*:2],CN1C(=C[*:2])C(C)([*:2])c2ccccc21,C(=C[*:2])C=C1Sc2ccccc2N1C[*:2]
CN1C(=C[*:3])C(C)([*:3])c2ccccc21 --->>>--- C(=C[*:3])C=C1Sc2ccccc2N1C[*:3],CN1C(=C[*:3])C(C)([*:3])c2ccccc21,C(=C[*:3])C=C1Sc2ccccc2N1C[*:3]
CN1C(=C[*:1])C([*:1])([*:1])c2ccccc21 --->>>--- CN1C(=C[*:1])C([*:1])([*:1])c2cc(C(=O)O)ccc21,CN1C(=C[*:1])C([*:1])([*:1])c2ccccc21,CN1C(=C[*:1])C([*:1])([*:1])c2cc(C(=O)O)ccc21
CN1C(=C[*:2])C([*:2])([*:2])c2ccccc21 --->>>--- CN1C(=C[*:2])C([*:2])([*:2])c2cc(C(=O)O)ccc21,CN1C(=C[*:2])C([*:2])([*:2])c2ccccc21,CN1C(=C[*:2])C([*:2])([*:2])c2cc(C(=O)O)ccc21
CN1C(=C[*:3])C([*:3])([*:3])c2ccccc21 --->>>--- CN1C(=C[*:3])C([*:3])([*:3])c2cc(C(=O)O)ccc21,CN1C(=C[*:3])C([*:3])([*:3])c2ccccc21,CN1C(=C[*:3])C([*:3])([*:3])c2cc(C(=O)O)ccc21
CN1C(=C[*:1])C([*:1])([*:1])c2ccccc21 --->>>--- CC1([*:1])C(=C[*:1])N([*:1])c2ccc(C(=O)O)cc21,CN1C(=C[*:1])C([*:1])([*:1])c2ccccc21,CC1([*:1])C(=C[*:1])N([*:1])c2ccc(C(=O)O)cc21
CN1C(=C[*:2])C([*:2])([*:2])c2ccccc21 --->>>--- CC1([*:2])C(=C[*:2])N([*:2])c2ccc(C(=O)O)cc21,CN1C(=C[*:2])C([*:2])([*:2])c2ccccc21,CC1([*:2])C(=C[*:2])N([*:2])c2ccc(C(=O)O)cc21
CN1C(=C[*:3])C([*:3])([*:3])c2ccccc21 --->>>--- CC1([*:3])C(=C[*:3])N([*:3])c2ccc(C(=O)O)cc21,CN1C(=C[*:3])C([*:3])([*:3])c2ccccc21,CC1([*:3])C(=C[*:3])N([*:3])c2ccc(C(=O)O)cc21
Cn1c([*:1])cc2ccccc21 --->>>--- C[Si](C)(C)c1ccc([*:1])s1,Cn1c([*:1])cc2ccccc21,C[Si](C)(C)c1ccc([*:1])s1
Cn1c([*:2])cc2ccccc21 --->>>--- C[Si](C)(C)c1ccc([*:2])s1,Cn1c([*:2])cc2ccccc21,C[Si](C)(C)c1ccc([*:2])s1
Cn1c([*:3])cc2ccccc21 --->>>--- C[Si](C)(C)c1ccc([*:3])s1,Cn1c([*:3])cc2ccccc21,C[Si](C)(C)c1ccc([*:3])s1
CN1/C(=C\C=C[*:1])c2ccccc2-c2ccccc21 --->>>--- CN1/C(=C\C=C[*:1])c2ccccc2-c2cc(N(c3ccccc3)c3ccccc3)ccc21,CN1/C(=C\C=C[*:1])c2ccccc2-c2ccccc21,CN1/C(=C\C=C[*:1])c2ccccc2-c2cc(N(c3ccccc3)c3ccccc3)ccc21
CN1/C(=C\C=C[*:2])c2ccccc2-c2ccccc21 --->>>--- CN1/C(=C\C=C[*:2])c2ccccc2-c2cc(N(c3ccccc3)c3ccccc3)ccc21,CN1/C(=C\C=C[*:2])c2ccccc2-c2ccccc21,CN1/C(=C\C=C[*:2])c2ccccc2-c2cc(N(c3ccccc3)c3ccccc3)ccc21
CN1/C(=C\C=C[*:3])c2ccccc2-c2ccccc21 --->>>--- CN1/C(=C\C=C[*:3])c2ccccc2-c2cc(N(c3ccccc3)c3ccccc3)ccc21,CN1/C(=C\C=C[*:3])c2ccccc2-c2ccccc21,CN1/C(=C\C=C[*:3])c2ccccc2-c2cc(N(c3ccccc3)c3ccccc3)ccc21
CN[*:1] --->>>--- CN(C(=O)OCc1ccccc1)[*:1],CN[*:1],CN(C(=O)OCc1ccccc1)[*:1]
CN[*:2] --->>>--- CN(C(=O)OCc1ccccc1)[*:2],CN[*:2],CN(C(=O)OCc1ccccc1)[*:2]
CN[*:3] --->>>--- CN(C(=O)OCc1ccccc1)[*:3],CN[*:3],CN(C(=O)OCc1ccccc1)[*:3]
CN[*:1] --->>>--- CN(C(=O)C(F)(F)F)[*:1],CN[*:1],CN(C(=O)C(F)(F)F)[*:1]
CN[*:2] --->>>--- CN(C(=O)C(F)(F)F)[*:2],CN[*:2],CN(C(=O)C(F)(F)F)[*:2]
CN[*:3] --->>>--- CN(C(=O)C(F)(F)F)[*:3],CN[*:3],CN(C(=O)C(F)(F)F)[*:3]
CN[*:1] --->>>--- CC(=O)N(C)[*:1],CN[*:1],CC(=O)N(C)[*:1]
CN[*:2] --->>>--- CC(=O)N(C)[*:2],CN[*:2],CC(=O)N(C)[*:2]
CN[*:3] --->>>--- CC(=O)N(C)[*:3],CN[*:3],CC(=O)N(C)[*:3]
CN(c1ccc([*:1])cc1)[*:1] --->>>--- CN(c1ccc(C=C[*:1])cc1)[*:1],CN(c1ccc([*:1])cc1)[*:1],CN(c1ccc(C=C[*:1])cc1)[*:1]
CN(c1ccc([*:2])cc1)[*:2] --->>>--- CN(c1ccc(C=C[*:2])cc1)[*:2],CN(c1ccc([*:2])cc1)[*:2],CN(c1ccc(C=C[*:2])cc1)[*:2]
CN(c1ccc([*:3])cc1)[*:3] --->>>--- CN(c1ccc(C=C[*:3])cc1)[*:3],CN(c1ccc([*:3])cc1)[*:3],CN(c1ccc(C=C[*:3])cc1)[*:3]
CN(c1ccc([*:1])cc1)[*:1] --->>>--- CN(c1ccc([*:1])s1)[*:1],CN(c1ccc([*:1])cc1)[*:1],CN(c1ccc([*:1])s1)[*:1]
CN(c1ccc([*:2])cc1)[*:2] --->>>--- CN(c1ccc([*:2])s1)[*:2],CN(c1ccc([*:2])cc1)[*:2],CN(c1ccc([*:2])s1)[*:2]
CN(c1ccc([*:3])cc1)[*:3] --->>>--- CN(c1ccc([*:3])s1)[*:3],CN(c1ccc([*:3])cc1)[*:3],CN(c1ccc([*:3])s1)[*:3]
CN(c1ccc([*:1])cc1)[*:1] --->>>--- CCN1c2cc3c(cc2N(C[*:1])C2CCCCC21)OC(c1ccccc1)=CC3=C[*:1],CN(c1ccc([*:1])cc1)[*:1],CCN1c2cc3c(cc2N(C[*:1])C2CCCCC21)OC(c1ccccc1)=CC3=C[*:1]
CN(c1ccc([*:2])cc1)[*:2] --->>>--- CCN1c2cc3c(cc2N(C[*:2])C2CCCCC21)OC(c1ccccc1)=CC3=C[*:2],CN(c1ccc([*:2])cc1)[*:2],CCN1c2cc3c(cc2N(C[*:2])C2CCCCC21)OC(c1ccccc1)=CC3=C[*:2]
CN(c1ccc([*:3])cc1)[*:3] --->>>--- CCN1c2cc3c(cc2N(C[*:3])C2CCCCC21)OC(c1ccccc1)=CC3=C[*:3],CN(c1ccc([*:3])cc1)[*:3],CCN1c2cc3c(cc2N(C[*:3])C2CCCCC21)OC(c1ccccc1)=CC3=C[*:3]
CN(c1ccc([*:1])cc1)[*:1] --->>>--- c1ccn2c([*:1])nc([*:1])c2c1,CN(c1ccc([*:1])cc1)[*:1],c1ccn2c([*:1])nc([*:1])c2c1
CN(c1ccc([*:2])cc1)[*:2] --->>>--- c1ccn2c([*:2])nc([*:2])c2c1,CN(c1ccc([*:2])cc1)[*:2],c1ccn2c([*:2])nc([*:2])c2c1
CN(c1ccc([*:3])cc1)[*:3] --->>>--- c1ccn2c([*:3])nc([*:3])c2c1,CN(c1ccc([*:3])cc1)[*:3],c1ccn2c([*:3])nc([*:3])c2c1
CN(C=N[*:1])[*:1] --->>>--- CCN(C[*:1])[*:1],CN(C=N[*:1])[*:1],CCN(C[*:1])[*:1]
CN(C=N[*:2])[*:2] --->>>--- CCN(C[*:2])[*:2],CN(C=N[*:2])[*:2],CCN(C[*:2])[*:2]
CN(C=N[*:3])[*:3] --->>>--- CCN(C[*:3])[*:3],CN(C=N[*:3])[*:3],CCN(C[*:3])[*:3]
CN(C=C[*:1])[*:1] --->>>--- CN1C(=CC=C[*:1])C(C)([*:1])c2ccccc21,CN(C=C[*:1])[*:1],CN1C(=CC=C[*:1])C(C)([*:1])c2ccccc21
CN(C=C[*:2])[*:2] --->>>--- CN1C(=CC=C[*:2])C(C)([*:2])c2ccccc21,CN(C=C[*:2])[*:2],CN1C(=CC=C[*:2])C(C)([*:2])c2ccccc21
CN(C=C[*:3])[*:3] --->>>--- CN1C(=CC=C[*:3])C(C)([*:3])c2ccccc21,CN(C=C[*:3])[*:3],CN1C(=CC=C[*:3])C(C)([*:3])c2ccccc21
CN(C=C[*:1])[*:1] --->>>--- CC1(C)C(=CC=C[*:1])N([*:1])c2ccccc21,CN(C=C[*:1])[*:1],CC1(C)C(=CC=C[*:1])N([*:1])c2ccccc21
CN(C=C[*:2])[*:2] --->>>--- CC1(C)C(=CC=C[*:2])N([*:2])c2ccccc21,CN(C=C[*:2])[*:2],CC1(C)C(=CC=C[*:2])N([*:2])c2ccccc21
CN(C=C[*:3])[*:3] --->>>--- CC1(C)C(=CC=C[*:3])N([*:3])c2ccccc21,CN(C=C[*:3])[*:3],CC1(C)C(=CC=C[*:3])N([*:3])c2ccccc21
CN(C=C[*:1])[*:1] --->>>--- C(=C[*:1])C=C1Sc2ccccc2N1C[*:1],CN(C=C[*:1])[*:1],C(=C[*:1])C=C1Sc2ccccc2N1C[*:1]
CN(C=C[*:2])[*:2] --->>>--- C(=C[*:2])C=C1Sc2ccccc2N1C[*:2],CN(C=C[*:2])[*:2],C(=C[*:2])C=C1Sc2ccccc2N1C[*:2]
CN(C=C[*:3])[*:3] --->>>--- C(=C[*:3])C=C1Sc2ccccc2N1C[*:3],CN(C=C[*:3])[*:3],C(=C[*:3])C=C1Sc2ccccc2N1C[*:3]
CN(C=C[*:1])[*:1] --->>>--- C(=C[*:1])C=C1C=Cc2ccccc2N1[*:1],CN(C=C[*:1])[*:1],C(=C[*:1])C=C1C=Cc2ccccc2N1[*:1]
CN(C=C[*:2])[*:2] --->>>--- C(=C[*:2])C=C1C=Cc2ccccc2N1[*:2],CN(C=C[*:2])[*:2],C(=C[*:2])C=C1C=Cc2ccccc2N1[*:2]
CN(C=C[*:3])[*:3] --->>>--- C(=C[*:3])C=C1C=Cc2ccccc2N1[*:3],CN(C=C[*:3])[*:3],C(=C[*:3])C=C1C=Cc2ccccc2N1[*:3]
CN(C[*:1])[*:1] --->>>--- C1C([*:1])N1[*:1],CN(C[*:1])[*:1],C1C([*:1])N1[*:1]
CN(C[*:2])[*:2] --->>>--- C1C([*:2])N1[*:2],CN(C[*:2])[*:2],C1C([*:2])N1[*:2]
CN(C[*:3])[*:3] --->>>--- C1C([*:3])N1[*:3],CN(C[*:3])[*:3],C1C([*:3])N1[*:3]
CN(C)c1ccc2c(c1)OC(c1ccccc1)=CC2=C[*:1] --->>>--- CN(C)c1ccc2c(c1)OC(c1ccccc1)=CC2=CC=CC=C[*:1],CN(C)c1ccc2c(c1)OC(c1ccccc1)=CC2=C[*:1],CN(C)c1ccc2c(c1)OC(c1ccccc1)=CC2=CC=CC=C[*:1]
CN(C)c1ccc2c(c1)OC(c1ccccc1)=CC2=C[*:2] --->>>--- CN(C)c1ccc2c(c1)OC(c1ccccc1)=CC2=CC=CC=C[*:2],CN(C)c1ccc2c(c1)OC(c1ccccc1)=CC2=C[*:2],CN(C)c1ccc2c(c1)OC(c1ccccc1)=CC2=CC=CC=C[*:2]
CN(C)c1ccc2c(c1)OC(c1ccccc1)=CC2=C[*:3] --->>>--- CN(C)c1ccc2c(c1)OC(c1ccccc1)=CC2=CC=CC=C[*:3],CN(C)c1ccc2c(c1)OC(c1ccccc1)=CC2=C[*:3],CN(C)c1ccc2c(c1)OC(c1ccccc1)=CC2=CC=CC=C[*:3]
CN(C)c1ccc2c(c1)OC(c1ccccc1)=CC2=C[*:1] --->>>--- CN(C)c1ccc2c(c1)OC(c1ccccc1)=CC2=CC=C[*:1],CN(C)c1ccc2c(c1)OC(c1ccccc1)=CC2=C[*:1],CN(C)c1ccc2c(c1)OC(c1ccccc1)=CC2=CC=C[*:1]
CN(C)c1ccc2c(c1)OC(c1ccccc1)=CC2=C[*:2] --->>>--- CN(C)c1ccc2c(c1)OC(c1ccccc1)=CC2=CC=C[*:2],CN(C)c1ccc2c(c1)OC(c1ccccc1)=CC2=C[*:2],CN(C)c1ccc2c(c1)OC(c1ccccc1)=CC2=CC=C[*:2]
CN(C)c1ccc2c(c1)OC(c1ccccc1)=CC2=C[*:3] --->>>--- CN(C)c1ccc2c(c1)OC(c1ccccc1)=CC2=CC=C[*:3],CN(C)c1ccc2c(c1)OC(c1ccccc1)=CC2=C[*:3],CN(C)c1ccc2c(c1)OC(c1ccccc1)=CC2=CC=C[*:3]
CN(C)c1ccc2c(c1)OC([*:1])=CC2=C[*:1] --->>>--- CN(C)c1ccc2c(c1)OC([*:1])=CC2=CC=C[*:1],CN(C)c1ccc2c(c1)OC([*:1])=CC2=C[*:1],CN(C)c1ccc2c(c1)OC([*:1])=CC2=CC=C[*:1]
CN(C)c1ccc2c(c1)OC([*:2])=CC2=C[*:2] --->>>--- CN(C)c1ccc2c(c1)OC([*:2])=CC2=CC=C[*:2],CN(C)c1ccc2c(c1)OC([*:2])=CC2=C[*:2],CN(C)c1ccc2c(c1)OC([*:2])=CC2=CC=C[*:2]
CN(C)c1ccc2c(c1)OC([*:3])=CC2=C[*:3] --->>>--- CN(C)c1ccc2c(c1)OC([*:3])=CC2=CC=C[*:3],CN(C)c1ccc2c(c1)OC([*:3])=CC2=C[*:3],CN(C)c1ccc2c(c1)OC([*:3])=CC2=CC=C[*:3]
CN(C)c1ccc2c(c1)c1ccccc1c([*:1])[n+]2C --->>>--- C[n+]1c([*:1])c2ccccc2c2ccccc21,CN(C)c1ccc2c(c1)c1ccccc1c([*:1])[n+]2C,C[n+]1c([*:1])c2ccccc2c2ccccc21
CN(C)c1ccc2c(c1)c1ccccc1c([*:2])[n+]2C --->>>--- C[n+]1c([*:2])c2ccccc2c2ccccc21,CN(C)c1ccc2c(c1)c1ccccc1c([*:2])[n+]2C,C[n+]1c([*:2])c2ccccc2c2ccccc21
CN(C)c1ccc2c(c1)c1ccccc1c([*:3])[n+]2C --->>>--- C[n+]1c([*:3])c2ccccc2c2ccccc21,CN(C)c1ccc2c(c1)c1ccccc1c([*:3])[n+]2C,C[n+]1c([*:3])c2ccccc2c2ccccc21
CN(C)c1ccc2c(c1)c1ccccc1c([*:1])[n+]2C --->>>--- C[n+]1c([*:1])c2ccccc2c2cc(-c3ccccc3)ccc21,CN(C)c1ccc2c(c1)c1ccccc1c([*:1])[n+]2C,C[n+]1c([*:1])c2ccccc2c2cc(-c3ccccc3)ccc21
CN(C)c1ccc2c(c1)c1ccccc1c([*:2])[n+]2C --->>>--- C[n+]1c([*:2])c2ccccc2c2cc(-c3ccccc3)ccc21,CN(C)c1ccc2c(c1)c1ccccc1c([*:2])[n+]2C,C[n+]1c([*:2])c2ccccc2c2cc(-c3ccccc3)ccc21
CN(C)c1ccc2c(c1)c1ccccc1c([*:3])[n+]2C --->>>--- C[n+]1c([*:3])c2ccccc2c2cc(-c3ccccc3)ccc21,CN(C)c1ccc2c(c1)c1ccccc1c([*:3])[n+]2C,C[n+]1c([*:3])c2ccccc2c2cc(-c3ccccc3)ccc21
CN(C)c1ccc2c([*:1])cc(-c3ccccc3)[o+]c2c1 --->>>--- CN(C)c1ccc2c(C=CC=C[*:1])cc(-c3ccccc3)[o+]c2c1,CN(C)c1ccc2c([*:1])cc(-c3ccccc3)[o+]c2c1,CN(C)c1ccc2c(C=CC=C[*:1])cc(-c3ccccc3)[o+]c2c1
CN(C)c1ccc2c([*:2])cc(-c3ccccc3)[o+]c2c1 --->>>--- CN(C)c1ccc2c(C=CC=C[*:2])cc(-c3ccccc3)[o+]c2c1,CN(C)c1ccc2c([*:2])cc(-c3ccccc3)[o+]c2c1,CN(C)c1ccc2c(C=CC=C[*:2])cc(-c3ccccc3)[o+]c2c1
CN(C)c1ccc2c([*:3])cc(-c3ccccc3)[o+]c2c1 --->>>--- CN(C)c1ccc2c(C=CC=C[*:3])cc(-c3ccccc3)[o+]c2c1,CN(C)c1ccc2c([*:3])cc(-c3ccccc3)[o+]c2c1,CN(C)c1ccc2c(C=CC=C[*:3])cc(-c3ccccc3)[o+]c2c1
CN(C)c1ccc2c([*:1])cc(-c3ccccc3)[o+]c2c1 --->>>--- CN(C)c1ccc2c(C=C[*:1])cc(-c3ccccc3)[o+]c2c1,CN(C)c1ccc2c([*:1])cc(-c3ccccc3)[o+]c2c1,CN(C)c1ccc2c(C=C[*:1])cc(-c3ccccc3)[o+]c2c1
CN(C)c1ccc2c([*:2])cc(-c3ccccc3)[o+]c2c1 --->>>--- CN(C)c1ccc2c(C=C[*:2])cc(-c3ccccc3)[o+]c2c1,CN(C)c1ccc2c([*:2])cc(-c3ccccc3)[o+]c2c1,CN(C)c1ccc2c(C=C[*:2])cc(-c3ccccc3)[o+]c2c1
CN(C)c1ccc2c([*:3])cc(-c3ccccc3)[o+]c2c1 --->>>--- CN(C)c1ccc2c(C=C[*:3])cc(-c3ccccc3)[o+]c2c1,CN(C)c1ccc2c([*:3])cc(-c3ccccc3)[o+]c2c1,CN(C)c1ccc2c(C=C[*:3])cc(-c3ccccc3)[o+]c2c1
CN(C)c1ccc([*:1])cc1 --->>>--- O=C(O)C=CC=C[*:1],CN(C)c1ccc([*:1])cc1,O=C(O)C=CC=C[*:1]
CN(C)c1ccc([*:2])cc1 --->>>--- O=C(O)C=CC=C[*:2],CN(C)c1ccc([*:2])cc1,O=C(O)C=CC=C[*:2]
CN(C)c1ccc([*:3])cc1 --->>>--- O=C(O)C=CC=C[*:3],CN(C)c1ccc([*:3])cc1,O=C(O)C=CC=C[*:3]
CN(C)c1ccc([*:1])cc1 --->>>--- CN(C)c1ccc(C=C[*:1])cc1,CN(C)c1ccc([*:1])cc1,CN(C)c1ccc(C=C[*:1])cc1
CN(C)c1ccc([*:2])cc1 --->>>--- CN(C)c1ccc(C=C[*:2])cc1,CN(C)c1ccc([*:2])cc1,CN(C)c1ccc(C=C[*:2])cc1
CN(C)c1ccc([*:3])cc1 --->>>--- CN(C)c1ccc(C=C[*:3])cc1,CN(C)c1ccc([*:3])cc1,CN(C)c1ccc(C=C[*:3])cc1
CN(C)c1ccc([*:1])cc1 --->>>--- CN(C)c1ccc([*:1])s1,CN(C)c1ccc([*:1])cc1,CN(C)c1ccc([*:1])s1
CN(C)c1ccc([*:2])cc1 --->>>--- CN(C)c1ccc([*:2])s1,CN(C)c1ccc([*:2])cc1,CN(C)c1ccc([*:2])s1
CN(C)c1ccc([*:3])cc1 --->>>--- CN(C)c1ccc([*:3])s1,CN(C)c1ccc([*:3])cc1,CN(C)c1ccc([*:3])s1
CN(C)c1ccc([*:1])cc1 --->>>--- CCN1c2cc3c(cc2N(CC)C2CCCCC21)C(=C[*:1])C=C(c1ccccc1)O3,CN(C)c1ccc([*:1])cc1,CCN1c2cc3c(cc2N(CC)C2CCCCC21)C(=C[*:1])C=C(c1ccccc1)O3
CN(C)c1ccc([*:2])cc1 --->>>--- CCN1c2cc3c(cc2N(CC)C2CCCCC21)C(=C[*:2])C=C(c1ccccc1)O3,CN(C)c1ccc([*:2])cc1,CCN1c2cc3c(cc2N(CC)C2CCCCC21)C(=C[*:2])C=C(c1ccccc1)O3
CN(C)c1ccc([*:3])cc1 --->>>--- CCN1c2cc3c(cc2N(CC)C2CCCCC21)C(=C[*:3])C=C(c1ccccc1)O3,CN(C)c1ccc([*:3])cc1,CCN1c2cc3c(cc2N(CC)C2CCCCC21)C(=C[*:3])C=C(c1ccccc1)O3
CN(C)c1ccc([*:1])cc1 --->>>--- Cc1nc([*:1])c2ccccn12,CN(C)c1ccc([*:1])cc1,Cc1nc([*:1])c2ccccn12
CN(C)c1ccc([*:2])cc1 --->>>--- Cc1nc([*:2])c2ccccn12,CN(C)c1ccc([*:2])cc1,Cc1nc([*:2])c2ccccn12
CN(C)c1ccc([*:3])cc1 --->>>--- Cc1nc([*:3])c2ccccn12,CN(C)c1ccc([*:3])cc1,Cc1nc([*:3])c2ccccn12
CN(C)c1ccc([*:1])cc1 --->>>--- c1ccc(-c2nc([*:1])c3ccccn23)cc1,CN(C)c1ccc([*:1])cc1,c1ccc(-c2nc([*:1])c3ccccn23)cc1
CN(C)c1ccc([*:2])cc1 --->>>--- c1ccc(-c2nc([*:2])c3ccccn23)cc1,CN(C)c1ccc([*:2])cc1,c1ccc(-c2nc([*:2])c3ccccn23)cc1
CN(C)c1ccc([*:3])cc1 --->>>--- c1ccc(-c2nc([*:3])c3ccccn23)cc1,CN(C)c1ccc([*:3])cc1,c1ccc(-c2nc([*:3])c3ccccn23)cc1
CN(C)c1ccc([*:1])cc1 --->>>--- c1cc([*:1])sc1N1CCCC1,CN(C)c1ccc([*:1])cc1,c1cc([*:1])sc1N1CCCC1
CN(C)c1ccc([*:2])cc1 --->>>--- c1cc([*:2])sc1N1CCCC1,CN(C)c1ccc([*:2])cc1,c1cc([*:2])sc1N1CCCC1
CN(C)c1ccc([*:3])cc1 --->>>--- c1cc([*:3])sc1N1CCCC1,CN(C)c1ccc([*:3])cc1,c1cc([*:3])sc1N1CCCC1
CN(C)C1=C(C=C[*:1])CCCC1=C[*:1] --->>>--- ClC1=C(C=C[*:1])CCCC1=C[*:1],CN(C)C1=C(C=C[*:1])CCCC1=C[*:1],ClC1=C(C=C[*:1])CCCC1=C[*:1]
CN(C)C1=C(C=C[*:2])CCCC1=C[*:2] --->>>--- ClC1=C(C=C[*:2])CCCC1=C[*:2],CN(C)C1=C(C=C[*:2])CCCC1=C[*:2],ClC1=C(C=C[*:2])CCCC1=C[*:2]
CN(C)C1=C(C=C[*:3])CCCC1=C[*:3] --->>>--- ClC1=C(C=C[*:3])CCCC1=C[*:3],CN(C)C1=C(C=C[*:3])CCCC1=C[*:3],ClC1=C(C=C[*:3])CCCC1=C[*:3]
CN(C)C1=C(C=C[*:1])CCCC1=C[*:1] --->>>--- ClC1=C([*:1])CCCCC1=C[*:1],CN(C)C1=C(C=C[*:1])CCCC1=C[*:1],ClC1=C([*:1])CCCCC1=C[*:1]
CN(C)C1=C(C=C[*:2])CCCC1=C[*:2] --->>>--- ClC1=C([*:2])CCCCC1=C[*:2],CN(C)C1=C(C=C[*:2])CCCC1=C[*:2],ClC1=C([*:2])CCCCC1=C[*:2]
CN(C)C1=C(C=C[*:3])CCCC1=C[*:3] --->>>--- ClC1=C([*:3])CCCCC1=C[*:3],CN(C)C1=C(C=C[*:3])CCCC1=C[*:3],ClC1=C([*:3])CCCCC1=C[*:3]
CN(C)C1=C(C=C[*:1])CCCC1=C[*:1] --->>>--- ClC1=C([*:1])CCCC1=C[*:1],CN(C)C1=C(C=C[*:1])CCCC1=C[*:1],ClC1=C([*:1])CCCC1=C[*:1]
CN(C)C1=C(C=C[*:2])CCCC1=C[*:2] --->>>--- ClC1=C([*:2])CCCC1=C[*:2],CN(C)C1=C(C=C[*:2])CCCC1=C[*:2],ClC1=C([*:2])CCCC1=C[*:2]
CN(C)C1=C(C=C[*:3])CCCC1=C[*:3] --->>>--- ClC1=C([*:3])CCCC1=C[*:3],CN(C)C1=C(C=C[*:3])CCCC1=C[*:3],ClC1=C([*:3])CCCC1=C[*:3]
CN(C)C1=C(C=C[*:1])CCCC1=C[*:1] --->>>--- C(=CC=C[*:1])C=C[*:1],CN(C)C1=C(C=C[*:1])CCCC1=C[*:1],C(=CC=C[*:1])C=C[*:1]
CN(C)C1=C(C=C[*:2])CCCC1=C[*:2] --->>>--- C(=CC=C[*:2])C=C[*:2],CN(C)C1=C(C=C[*:2])CCCC1=C[*:2],C(=CC=C[*:2])C=C[*:2]
CN(C)C1=C(C=C[*:3])CCCC1=C[*:3] --->>>--- C(=CC=C[*:3])C=C[*:3],CN(C)C1=C(C=C[*:3])CCCC1=C[*:3],C(=CC=C[*:3])C=C[*:3]
CN(C)C1=C([*:1])CCCC1=C[*:1] --->>>--- ClC1=C([*:1])CCCC1=C[*:1],CN(C)C1=C([*:1])CCCC1=C[*:1],ClC1=C([*:1])CCCC1=C[*:1]
