smiles,predicted_prob,predicted_label,SA_Score
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C(C)(Cc2ccc(-c3ccc(N(C)C)cc3)s2)c2ccccc21,0.8938567855116902,1,3.82
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3cccc(C=CC=C4C=C(c5ccccc5)Oc5cc(N(C)C)ccc54)c3C2(C)C)C(C)(C)c2ccccc21,0.8917570490570376,1,3.80
CC[N+]1=C(/C=C/C=C/C=C2\N(CCC=Cc3ccc(N4c5ccccc5CCc5ccccc54)cc3)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,0.8913300385313061,1,3.49
CCN1/C(=C(\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C=CC=C2C=Cc3ccccc3N2C)C(C)(C)c2ccccc21,0.890393193483944,1,3.82
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C(C)(CCl)c2ccccc21,0.8890837391297414,1,3.70
CC[N+]1=C(/C=C/C=C/C=C2\N(C(C)C=C3C=Cc4ccccc4N3C)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,0.888627770779473,1,4.10
CCN1C(=CC=CCC2(C)/C(=C/C=C/C=C/C3=[N+](CC)c4ccccc4C3(C)C)N(CC)c3ccccc32)Sc2ccccc21,0.8876475226578636,1,4.07
CC[N+]1=C(/C=C/C=C/C=C2\N(CCC=Cc3ccc(OC)cc3OC)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,0.8840285478931875,1,3.28
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3cccc(C=Cc4ccc(OC)cc4OC)c3C2(C)C)C(C)(C)c2ccccc21,0.8837408636085198,1,3.33
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C(C)(Cc2ccc(N(C)C)cc2)c2ccccc21,0.8829098800154348,1,3.63
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C(C)(Cc2ccc([N+](=O)[O-])cc2)c2ccccc21,0.8828363624846749,1,3.63
CC[N+]1=C(/C=C/C=C/C=C2\N(CCc3ccc(N(C)C)cc3)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,0.8821515961507149,1,3.10
CC[N+]1=C(/C=C/C=C/C=C2\N(CCC=C3N(C)c4ccccc4C3(C)C)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,0.881505097454399,1,3.48
CCN1/C(=C\C(=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C=CC=C2C=C(c3ccccc3)Oc3cc(N(C)C)ccc32)C(C)(C)c2ccccc21,0.8813495579031401,1,3.86
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C(C)(C)c2cc(C=Cc3ccc(N4c5ccccc5CCc5ccccc54)cc3)ccc21,0.8805520829559363,1,3.48
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C(C)(C)c2c1cccc2C=CC=C1C=C(c2ccccc2)Oc2cc(N(C)C)ccc21,0.8793583474539501,1,3.81
CC[N+]1=C(/C=C/C=C/C=C2\N(CCc3ccc([N+](=O)[O-])cc3)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,0.8781138830881482,1,3.10
CCN1/C(=C\C=C\C=C\C2=[N+](CCC=CC=C3C=C(c4ccccc4)Oc4cc(N(C)C)ccc43)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,0.8774339159225205,1,3.77
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3cc(C=Cc4ccc(N5c6ccccc6CCc6ccccc65)cc4)ccc3C2(C)C)C(C)(C)c2ccccc21,0.8771819091278324,1,3.51
