element_tran,node1,node2
C[*:2] --->>>--- CCN1/C(=C/C=C[*:2])Sc2ccccc21,C[*:2],CCN1/C(=C/C=C[*:2])Sc2ccccc21
C[*:3] --->>>--- CCN1/C(=C/C=C[*:3])Sc2ccccc21,C[*:3],CCN1/C(=C/C=C[*:3])Sc2ccccc21
C[*:1] --->>>--- C(=C[*:1])c1ccc(N2c3ccccc3CCc3ccccc32)cc1,C[*:1],C(=C[*:1])c1ccc(N2c3ccccc3CCc3ccccc32)cc1
C[*:2] --->>>--- C(=C[*:2])c1ccc(N2c3ccccc3CCc3ccccc32)cc1,C[*:2],C(=C[*:2])c1ccc(N2c3ccccc3CCc3ccccc32)cc1
C[*:3] --->>>--- C(=C[*:3])c1ccc(N2c3ccccc3CCc3ccccc32)cc1,C[*:3],C(=C[*:3])c1ccc(N2c3ccccc3CCc3ccccc32)cc1
C[*:1] --->>>--- C(=C[*:1])c1c[nH]c2ccccc12,C[*:1],C(=C[*:1])c1c[nH]c2ccccc12
C[*:2] --->>>--- C(=C[*:2])c1c[nH]c2ccccc12,C[*:2],C(=C[*:2])c1c[nH]c2ccccc12
C[*:3] --->>>--- C(=C[*:3])c1c[nH]c2ccccc12,C[*:3],C(=C[*:3])c1c[nH]c2ccccc12
C[*:1] --->>>--- ,C[*:1],
C[*:2] --->>>--- ,C[*:2],
C[*:3] --->>>--- ,C[*:3],
