element_tran,public,public_num
S([*:*])[*:*] --->>>--- CN([*:*])[*:*],C#CCOc1ccc(-c2cc(-c3ccccc3)c3c([s+]2)C(=Cc2ccc([*:*])cc2)CC3)cc1,C#CCOc1ccc(-c2cc(-c3ccccc3)c3c([s+]2)C(=Cc2ccc([*:1])cc2)CC3)cc1
S([*:*])[*:*] --->>>--- CN([*:*])[*:*],C(=C1CCc2c(-c3ccccc3)cc(-c3ccccc3)[s+]c21)c1ccc([*:*])cc1,C(=C1CCc2c(-c3ccccc3)cc(-c3ccccc3)[s+]c21)c1ccc([*:1])cc1
Oc1ccc(-c2ccc(C=C[*:*])s2)cc1 --->>>--- CN1C(=CC=CC=CC=C[*:*])C(C)(C)c2ccccc21,CC1([*:*])C([*:*])=[N+]([*:*])c2ccccc21,CC1([*:1])C([*:2])=[N+]([*:3])c2ccccc21
Oc1ccc(-c2ccc(C=C[*:*])s2)cc1 --->>>--- CN1C(=CC=CC=CC=C[*:*])C(C)(C)c2ccccc21,C[N+]1=C([*:*])C([*:*])([*:*])c2ccccc21,C[N+]1=C([*:1])C([*:2])([*:3])c2ccccc21
Oc1ccc(-c2ccc([*:*])s2)cc1 --->>>--- CN1C(=CC=CC=C[*:*])C(C)(C)c2ccccc21,CC1(C)C(C=C[*:*])=[N+]([*:*])c2ccccc21,CC1(C)C(C=C[*:1])=[N+]([*:2])c2ccccc21
Oc1ccc(-c2ccc([*:*])s2)cc1 --->>>--- CN1C(=CC=CC=C[*:*])C(C)(C)c2ccccc21,C[N+]1=C(C=C[*:*])C(C)([*:*])c2ccccc21,C[N+]1=C(C=C[*:1])C(C)([*:2])c2ccccc21
Oc1ccc(-c2ccc([*:*])s2)cc1 --->>>--- CN1C(=CC=CC=C[*:*])C(C)(C)c2ccccc21,CC1([*:*])C(C=C[*:*])=[N+]([*:*])c2ccccc21,CC1([*:1])C(C=C[*:2])=[N+]([*:3])c2ccccc21
Oc1ccc(-c2ccc([*:*])s2)cc1 --->>>--- CN1C(=CC=CC=C[*:*])C(C)(C)c2ccccc21,C[N+]1=C(C=C[*:*])C([*:*])([*:*])c2ccccc21,C[N+]1=C(C=C[*:1])C([*:2])([*:3])c2ccccc21
Oc1ccc(-c2ccc([*:*])s2)cc1 --->>>--- CN(C)c1ccc2c(c1)OC(=C[*:*])C=C2C(F)(F)F,CC1([*:*])C(C=C[*:*])=[N+]([*:*])c2ccccc21,CC1([*:1])C(C=C[*:2])=[N+]([*:3])c2ccccc21
Oc1ccc(-c2ccc([*:*])s2)cc1 --->>>--- CN(C)c1ccc2c(c1)OC(=C[*:*])C=C2C(F)(F)F,C[N+]1=C(C=C[*:*])C([*:*])([*:*])c2ccccc21,C[N+]1=C(C=C[*:1])C([*:2])([*:3])c2ccccc21
Oc1ccc(C=C[*:*])cc1 --->>>--- CN(C)c1ccc(C=C[*:*])cc1,CCC1=C(C)C2=C(c3c(F)c(F)c(F)c(F)c3F)c3c(C)c(CC)c([*:*])n3[B-](F)(F)[N+]2=C1[*:*],CCC1=C(C)C2=C(c3c(F)c(F)c(F)c(F)c3F)c3c(C)c(CC)c([*:1])n3[B-](F)(F)[N+]2=C1[*:2]
Oc1ccc(C=C[*:*])cc1 --->>>--- CN(C)c1ccc(C=C[*:*])cc1,CCc1c(C)c2n(c1[*:*])[B-](F)(F)[N+]1=C([*:*])C(C[*:*])=C(C)C1=C2c1c(F)c(F)c(F)c(F)c1F,CCc1c(C)c2n(c1[*:1])[B-](F)(F)[N+]1=C([*:2])C(C[*:3])=C(C)C1=C2c1c(F)c(F)c(F)c(F)c1F
Oc1ccc(C=C[*:*])cc1 --->>>--- CN(C)c1ccc(C=C[*:*])cc1,CCc1c(C)c2n(c1[*:*])[B-](F)(F)[N+]1=C([*:*])C([*:*])=C(C)C1=C2c1c(F)c(F)c(F)c(F)c1F,CCc1c(C)c2n(c1[*:1])[B-](F)(F)[N+]1=C([*:2])C([*:3])=C(C)C1=C2c1c(F)c(F)c(F)c(F)c1F
Oc1ccc(C=C[*:*])cc1 --->>>--- CN(C)c1ccc(C=C[*:*])cc1,CCC1=C([*:*])C2=C(c3c(F)c(F)c(F)c(F)c3F)c3c(C)c(CC)c([*:*])n3[B-](F)(F)[N+]2=C1[*:*],CCC1=C([*:1])C2=C(c3c(F)c(F)c(F)c(F)c3F)c3c(C)c(CC)c([*:2])n3[B-](F)(F)[N+]2=C1[*:3]
Oc1ccc(C=C[*:*])cc1 --->>>--- CN(C)c1ccc(C=C[*:*])cc1,CCC1=C(C)C2=C([*:*])c3c(C)c(CC)c([*:*])n3[B-](F)(F)[N+]2=C1[*:*],CCC1=C(C)C2=C([*:1])c3c(C)c(CC)c([*:2])n3[B-](F)(F)[N+]2=C1[*:3]
Oc1ccc(C=C[*:*])cc1 --->>>--- CN(C)c1ccc(C=C[*:*])cc1,CCC1=C(C)C2=C(c3c(F)c(F)c(F)c(F)c3[*:*])c3c(C)c(CC)c([*:*])n3[B-](F)(F)[N+]2=C1[*:*],CCC1=C(C)C2=C(c3c(F)c(F)c(F)c(F)c3[*:1])c3c(C)c(CC)c([*:2])n3[B-](F)(F)[N+]2=C1[*:3]
Oc1ccc(C=C[*:*])cc1 --->>>--- CN(C)c1ccc(C=C[*:*])cc1,CCC1=C(C)C2=C(c3c(F)c(F)c(F)c([*:*])c3F)c3c(C)c(CC)c([*:*])n3[B-](F)(F)[N+]2=C1[*:*],CCC1=C(C)C2=C(c3c(F)c(F)c(F)c([*:1])c3F)c3c(C)c(CC)c([*:2])n3[B-](F)(F)[N+]2=C1[*:3]
Oc1ccc(C=C[*:*])cc1 --->>>--- CN(C)c1ccc(C=C[*:*])cc1,CCC1=C(C)C2=C(c3c(F)c(F)c([*:*])c(F)c3F)c3c(C)c(CC)c([*:*])n3[B-](F)(F)[N+]2=C1[*:*],CCC1=C(C)C2=C(c3c(F)c(F)c([*:1])c(F)c3F)c3c(C)c(CC)c([*:2])n3[B-](F)(F)[N+]2=C1[*:3]
Oc1ccc(C=C[*:*])cc1 --->>>--- CN(C)c1ccc(C=C[*:*])cc1,CCC1=C(C)C2=C(c3c(F)c(F)c(F)c(F)c3F)c3c([*:*])c(CC)c([*:*])n3[B-](F)(F)[N+]2=C1[*:*],CCC1=C(C)C2=C(c3c(F)c(F)c(F)c(F)c3F)c3c([*:1])c(CC)c([*:2])n3[B-](F)(F)[N+]2=C1[*:3]
Oc1ccc(C=C[*:*])cc1 --->>>--- CN(C)c1ccc(C=C[*:*])cc1,CCC1=C(C)C2=C(c3c(F)c(F)c(F)c(F)c3F)c3c(C)c([*:*])c([*:*])n3[B-](F)(F)[N+]2=C1[*:*],CCC1=C(C)C2=C(c3c(F)c(F)c(F)c(F)c3F)c3c(C)c([*:1])c([*:2])n3[B-](F)(F)[N+]2=C1[*:3]
Oc1ccc(C=C[*:*])cc1 --->>>--- CN(C)c1ccc(C=C[*:*])cc1,CCC1=C(C)C2=C(c3c(F)c(F)c(F)c(F)c3F)c3c(C)c(C[*:*])c([*:*])n3[B-](F)(F)[N+]2=C1[*:*],CCC1=C(C)C2=C(c3c(F)c(F)c(F)c(F)c3F)c3c(C)c(C[*:1])c([*:2])n3[B-](F)(F)[N+]2=C1[*:3]
Oc1ccc([*:*])cc1 --->>>--- CN(C)c1ccc([*:*])cc1,CCC1=C(C)C2=C(c3c(F)c(F)c(F)c(F)c3F)c3c(C)c(CC)c(C=C[*:*])n3[B-](F)(F)[N+]2=C1C=C[*:*],CCC1=C(C)C2=C(c3c(F)c(F)c(F)c(F)c3F)c3c(C)c(CC)c(C=C[*:1])n3[B-](F)(F)[N+]2=C1C=C[*:2]
Oc1ccc([*:*])cc1 --->>>--- CN(C)c1ccc([*:*])cc1,CCc1c(C)c2n(c1C=C[*:*])[B-](F)(F)[N+]1=C(C=C[*:*])C(C[*:*])=C(C)C1=C2c1c(F)c(F)c(F)c(F)c1F,CCc1c(C)c2n(c1C=C[*:1])[B-](F)(F)[N+]1=C(C=C[*:2])C(C[*:3])=C(C)C1=C2c1c(F)c(F)c(F)c(F)c1F
Oc1ccc([*:*])cc1 --->>>--- CN(C)c1ccc([*:*])cc1,CCc1c(C)c2n(c1C=C[*:*])[B-](F)(F)[N+]1=C(C=C[*:*])C([*:*])=C(C)C1=C2c1c(F)c(F)c(F)c(F)c1F,CCc1c(C)c2n(c1C=C[*:1])[B-](F)(F)[N+]1=C(C=C[*:2])C([*:3])=C(C)C1=C2c1c(F)c(F)c(F)c(F)c1F
Oc1ccc([*:*])cc1 --->>>--- CN(C)c1ccc([*:*])cc1,CCC1=C([*:*])C2=C(c3c(F)c(F)c(F)c(F)c3F)c3c(C)c(CC)c(C=C[*:*])n3[B-](F)(F)[N+]2=C1C=C[*:*],CCC1=C([*:1])C2=C(c3c(F)c(F)c(F)c(F)c3F)c3c(C)c(CC)c(C=C[*:2])n3[B-](F)(F)[N+]2=C1C=C[*:3]
Oc1ccc([*:*])cc1 --->>>--- CN(C)c1ccc([*:*])cc1,CCC1=C(C)C2=C([*:*])c3c(C)c(CC)c(C=C[*:*])n3[B-](F)(F)[N+]2=C1C=C[*:*],CCC1=C(C)C2=C([*:1])c3c(C)c(CC)c(C=C[*:2])n3[B-](F)(F)[N+]2=C1C=C[*:3]
Oc1ccc([*:*])cc1 --->>>--- CN(C)c1ccc([*:*])cc1,CCC1=C(C)C2=C(c3c(F)c(F)c(F)c(F)c3[*:*])c3c(C)c(CC)c(C=C[*:*])n3[B-](F)(F)[N+]2=C1C=C[*:*],CCC1=C(C)C2=C(c3c(F)c(F)c(F)c(F)c3[*:1])c3c(C)c(CC)c(C=C[*:2])n3[B-](F)(F)[N+]2=C1C=C[*:3]
Oc1ccc([*:*])cc1 --->>>--- CN(C)c1ccc([*:*])cc1,CCC1=C(C)C2=C(c3c(F)c(F)c(F)c([*:*])c3F)c3c(C)c(CC)c(C=C[*:*])n3[B-](F)(F)[N+]2=C1C=C[*:*],CCC1=C(C)C2=C(c3c(F)c(F)c(F)c([*:1])c3F)c3c(C)c(CC)c(C=C[*:2])n3[B-](F)(F)[N+]2=C1C=C[*:3]
Oc1ccc([*:*])cc1 --->>>--- CN(C)c1ccc([*:*])cc1,CCC1=C(C)C2=C(c3c(F)c(F)c([*:*])c(F)c3F)c3c(C)c(CC)c(C=C[*:*])n3[B-](F)(F)[N+]2=C1C=C[*:*],CCC1=C(C)C2=C(c3c(F)c(F)c([*:1])c(F)c3F)c3c(C)c(CC)c(C=C[*:2])n3[B-](F)(F)[N+]2=C1C=C[*:3]
Oc1ccc([*:*])cc1 --->>>--- CN(C)c1ccc([*:*])cc1,CCC1=C(C)C2=C(c3c(F)c(F)c(F)c(F)c3F)c3c([*:*])c(CC)c(C=C[*:*])n3[B-](F)(F)[N+]2=C1C=C[*:*],CCC1=C(C)C2=C(c3c(F)c(F)c(F)c(F)c3F)c3c([*:1])c(CC)c(C=C[*:2])n3[B-](F)(F)[N+]2=C1C=C[*:3]
Oc1ccc([*:*])cc1 --->>>--- CN(C)c1ccc([*:*])cc1,CCC1=C(C)C2=C(c3c(F)c(F)c(F)c(F)c3F)c3c(C)c([*:*])c(C=C[*:*])n3[B-](F)(F)[N+]2=C1C=C[*:*],CCC1=C(C)C2=C(c3c(F)c(F)c(F)c(F)c3F)c3c(C)c([*:1])c(C=C[*:2])n3[B-](F)(F)[N+]2=C1C=C[*:3]
Oc1ccc([*:*])cc1 --->>>--- CN(C)c1ccc([*:*])cc1,CCC1=C(C)C2=C(c3c(F)c(F)c(F)c(F)c3F)c3c(C)c(C[*:*])c(C=C[*:*])n3[B-](F)(F)[N+]2=C1C=C[*:*],CCC1=C(C)C2=C(c3c(F)c(F)c(F)c(F)c3F)c3c(C)c(C[*:1])c(C=C[*:2])n3[B-](F)(F)[N+]2=C1C=C[*:3]
O=CC[*:*] --->>>--- CN1C(=CC=C[*:*])C=Cc2ccccc21,CCOC(=O)c1c(-c2ccccc2)c2n(c1[*:*])[B-](F)(F)[N+]1=C(C)C(C(=O)OC[*:*])=C(c3ccccc3)C1=C2,CCOC(=O)c1c(-c2ccccc2)c2n(c1[*:1])[B-](F)(F)[N+]1=C(C)C(C(=O)OC[*:2])=C(c3ccccc3)C1=C2
O=CC[*:*] --->>>--- CN1C(=CC=C[*:*])C=Cc2ccccc21,CCOC(=O)c1c(-c2ccccc2)c2n(c1[*:*])[B-](F)(F)[N+]1=C(C)C(C(=O)O[*:*])=C(c3ccccc3)C1=C2,CCOC(=O)c1c(-c2ccccc2)c2n(c1[*:1])[B-](F)(F)[N+]1=C(C)C(C(=O)O[*:2])=C(c3ccccc3)C1=C2
O=CC[*:*] --->>>--- CN1C(=CC=C[*:*])C=Cc2ccccc21,CCOC(=O)c1c(-c2ccccc2)c2n(c1[*:*])[B-](F)(F)[N+]1=C(C)C([*:*])=C(c3ccccc3)C1=C2,CCOC(=O)c1c(-c2ccccc2)c2n(c1[*:1])[B-](F)(F)[N+]1=C(C)C([*:2])=C(c3ccccc3)C1=C2
O=CC[*:*] --->>>--- CN1C(=CC=C[*:*])C=Cc2ccccc21,CCOC(=O)C1=C([*:*])C2=Cc3c(-c4ccccc4)c(C(=O)OCC)c([*:*])n3[B-](F)(F)[N+]2=C1C,CCOC(=O)C1=C([*:1])C2=Cc3c(-c4ccccc4)c(C(=O)OCC)c([*:2])n3[B-](F)(F)[N+]2=C1C
O=CC[*:*] --->>>--- CN1C(=CC=C[*:*])C=Cc2ccccc21,CCOC(=O)C1=C(c2ccccc2)C2=Cc3c([*:*])c(C(=O)OCC)c([*:*])n3[B-](F)(F)[N+]2=C1C,CCOC(=O)C1=C(c2ccccc2)C2=Cc3c([*:1])c(C(=O)OCC)c([*:2])n3[B-](F)(F)[N+]2=C1C
O=CC[*:*] --->>>--- CN1C(=CC=C[*:*])C=Cc2ccccc21,CCOC(=O)C1=C(c2ccccc2)C2=Cc3c(-c4ccccc4)c([*:*])c([*:*])n3[B-](F)(F)[N+]2=C1C,CCOC(=O)C1=C(c2ccccc2)C2=Cc3c(-c4ccccc4)c([*:1])c([*:2])n3[B-](F)(F)[N+]2=C1C
O=CC[*:*] --->>>--- CN1C(=CC=C[*:*])C=Cc2ccccc21,CCOC(=O)C1=C(c2ccccc2)C2=Cc3c(-c4ccccc4)c(C(=O)O[*:*])c([*:*])n3[B-](F)(F)[N+]2=C1C,CCOC(=O)C1=C(c2ccccc2)C2=Cc3c(-c4ccccc4)c(C(=O)O[*:1])c([*:2])n3[B-](F)(F)[N+]2=C1C
O=CC[*:*] --->>>--- CN1C(=CC=C[*:*])C=Cc2ccccc21,CCOC(=O)C1=C(c2ccccc2)C2=Cc3c(-c4ccccc4)c(C(=O)OC[*:*])c([*:*])n3[B-](F)(F)[N+]2=C1C,CCOC(=O)C1=C(c2ccccc2)C2=Cc3c(-c4ccccc4)c(C(=O)OC[*:1])c([*:2])n3[B-](F)(F)[N+]2=C1C
O=CC[*:*] --->>>--- CN1C(=CC=C[*:*])C=Cc2ccccc21,CCOC(=O)C1=C(c2ccccc2)C2=Cc3c(-c4ccccc4)c(C(=O)OCC)c([*:*])n3[B-](F)(F)[N+]2=C1[*:*],CCOC(=O)C1=C(c2ccccc2)C2=Cc3c(-c4ccccc4)c(C(=O)OCC)c([*:1])n3[B-](F)(F)[N+]2=C1[*:2]
O=CC[*:*] --->>>--- CN1C(=CC=C[*:*])C=Cc2ccccc21,CCOC(=O)c1c(-c2ccccc2)c2n(c1[*:*])[B-](F)(F)[N+]1=C([*:*])C(C(=O)OC[*:*])=C(c3ccccc3)C1=C2,CCOC(=O)c1c(-c2ccccc2)c2n(c1[*:1])[B-](F)(F)[N+]1=C([*:2])C(C(=O)OC[*:3])=C(c3ccccc3)C1=C2
O=CC[*:*] --->>>--- CN1C(=CC=C[*:*])C=Cc2ccccc21,CCOC(=O)C1=C(c2ccccc2)C2=Cc3c(-c4ccccc4)c(C(=O)OC[*:*])c([*:*])n3[B-](F)(F)[N+]2=C1[*:*],CCOC(=O)C1=C(c2ccccc2)C2=Cc3c(-c4ccccc4)c(C(=O)OC[*:1])c([*:2])n3[B-](F)(F)[N+]2=C1[*:3]
O=CC[*:*] --->>>--- CN1C(=CC=C[*:*])C=Cc2ccccc21,CCOC(=O)c1c(-c2ccccc2)c2n(c1[*:*])[B-](F)(F)[N+]1=C(C)C(C(=O)OC[*:*])=C([*:*])C1=C2,CCOC(=O)c1c(-c2ccccc2)c2n(c1[*:1])[B-](F)(F)[N+]1=C(C)C(C(=O)OC[*:2])=C([*:3])C1=C2
O=CC[*:*] --->>>--- CN1C(=CC=C[*:*])C=Cc2ccccc21,CCOC(=O)c1c([*:*])c2n(c1[*:*])[B-](F)(F)[N+]1=C(C)C(C(=O)OC[*:*])=C(c3ccccc3)C1=C2,CCOC(=O)c1c([*:1])c2n(c1[*:2])[B-](F)(F)[N+]1=C(C)C(C(=O)OC[*:3])=C(c3ccccc3)C1=C2
O=CC[*:*] --->>>--- CN1C(=CC=C[*:*])C=Cc2ccccc21,CC1=[N+]2C(=Cc3c(-c4ccccc4)c([*:*])c([*:*])n3[B-]2(F)F)C(c2ccccc2)=C1C(=O)OC[*:*],CC1=[N+]2C(=Cc3c(-c4ccccc4)c([*:1])c([*:2])n3[B-]2(F)F)C(c2ccccc2)=C1C(=O)OC[*:3]
O=CC[*:*] --->>>--- CN1C(=CC=C[*:*])C=Cc2ccccc21,CC1=[N+]2C(=Cc3c(-c4ccccc4)c(C(=O)O[*:*])c([*:*])n3[B-]2(F)F)C(c2ccccc2)=C1C(=O)OC[*:*],CC1=[N+]2C(=Cc3c(-c4ccccc4)c(C(=O)O[*:1])c([*:2])n3[B-]2(F)F)C(c2ccccc2)=C1C(=O)OC[*:3]
O=CC[*:*] --->>>--- CN1C(=CC=C[*:*])C=Cc2ccccc21,CC1=[N+]2C(=Cc3c(-c4ccccc4)c(C(=O)OC[*:*])c([*:*])n3[B-]2(F)F)C(c2ccccc2)=C1C(=O)OC[*:*],CC1=[N+]2C(=Cc3c(-c4ccccc4)c(C(=O)OC[*:1])c([*:2])n3[B-]2(F)F)C(c2ccccc2)=C1C(=O)OC[*:3]
O=CC[*:*] --->>>--- CN1C(=CC=C[*:*])C=Cc2ccccc21,CCOC(=O)c1c(-c2ccccc2)c2n(c1[*:*])[B-](F)(F)[N+]1=C(C)C(C(=O)O[*:*])=C([*:*])C1=C2,CCOC(=O)c1c(-c2ccccc2)c2n(c1[*:1])[B-](F)(F)[N+]1=C(C)C(C(=O)O[*:2])=C([*:3])C1=C2
O=CC[*:*] --->>>--- CN1C(=CC=C[*:*])C=Cc2ccccc21,CCOC(=O)c1c([*:*])c2n(c1[*:*])[B-](F)(F)[N+]1=C(C)C(C(=O)O[*:*])=C(c3ccccc3)C1=C2,CCOC(=O)c1c([*:1])c2n(c1[*:2])[B-](F)(F)[N+]1=C(C)C(C(=O)O[*:3])=C(c3ccccc3)C1=C2
O=CC[*:*] --->>>--- CN1C(=CC=C[*:*])C=Cc2ccccc21,CC1=[N+]2C(=Cc3c(-c4ccccc4)c([*:*])c([*:*])n3[B-]2(F)F)C(c2ccccc2)=C1C(=O)O[*:*],CC1=[N+]2C(=Cc3c(-c4ccccc4)c([*:1])c([*:2])n3[B-]2(F)F)C(c2ccccc2)=C1C(=O)O[*:3]
O=CC[*:*] --->>>--- CN1C(=CC=C[*:*])C=Cc2ccccc21,CC1=[N+]2C(=Cc3c(-c4ccccc4)c(C(=O)O[*:*])c([*:*])n3[B-]2(F)F)C(c2ccccc2)=C1C(=O)O[*:*],CC1=[N+]2C(=Cc3c(-c4ccccc4)c(C(=O)O[*:1])c([*:2])n3[B-]2(F)F)C(c2ccccc2)=C1C(=O)O[*:3]
O=CC[*:*] --->>>--- CN1C(=CC=C[*:*])C=Cc2ccccc21,CC1=[N+]2C(=Cc3c(-c4ccccc4)c(C(=O)OC[*:*])c([*:*])n3[B-]2(F)F)C(c2ccccc2)=C1C(=O)O[*:*],CC1=[N+]2C(=Cc3c(-c4ccccc4)c(C(=O)OC[*:1])c([*:2])n3[B-]2(F)F)C(c2ccccc2)=C1C(=O)O[*:3]
O=CC[*:*] --->>>--- CN1C(=CC=C[*:*])C=Cc2ccccc21,CCOC(=O)c1c(-c2ccccc2)c2n(c1[*:*])[B-](F)(F)[N+]1=C([*:*])C(C(=O)O[*:*])=C(c3ccccc3)C1=C2,CCOC(=O)c1c(-c2ccccc2)c2n(c1[*:1])[B-](F)(F)[N+]1=C([*:2])C(C(=O)O[*:3])=C(c3ccccc3)C1=C2
O=CC[*:*] --->>>--- CN1C(=CC=C[*:*])C=Cc2ccccc21,CCOC(=O)c1c(-c2ccccc2)c2n(c1[*:*])[B-](F)(F)[N+]1=C(C)C([*:*])=C([*:*])C1=C2,CCOC(=O)c1c(-c2ccccc2)c2n(c1[*:1])[B-](F)(F)[N+]1=C(C)C([*:2])=C([*:3])C1=C2
O=CC[*:*] --->>>--- CN1C(=CC=C[*:*])C=Cc2ccccc21,CCOC(=O)c1c([*:*])c2n(c1[*:*])[B-](F)(F)[N+]1=C(C)C([*:*])=C(c3ccccc3)C1=C2,CCOC(=O)c1c([*:1])c2n(c1[*:2])[B-](F)(F)[N+]1=C(C)C([*:3])=C(c3ccccc3)C1=C2
O=CC[*:*] --->>>--- CN1C(=CC=C[*:*])C=Cc2ccccc21,CC1=[N+]2C(=Cc3c(-c4ccccc4)c([*:*])c([*:*])n3[B-]2(F)F)C(c2ccccc2)=C1[*:*],CC1=[N+]2C(=Cc3c(-c4ccccc4)c([*:1])c([*:2])n3[B-]2(F)F)C(c2ccccc2)=C1[*:3]
O=CC[*:*] --->>>--- CN1C(=CC=C[*:*])C=Cc2ccccc21,CC1=[N+]2C(=Cc3c(-c4ccccc4)c(C(=O)O[*:*])c([*:*])n3[B-]2(F)F)C(c2ccccc2)=C1[*:*],CC1=[N+]2C(=Cc3c(-c4ccccc4)c(C(=O)O[*:1])c([*:2])n3[B-]2(F)F)C(c2ccccc2)=C1[*:3]
O=CC[*:*] --->>>--- CN1C(=CC=C[*:*])C=Cc2ccccc21,CC1=[N+]2C(=Cc3c(-c4ccccc4)c(C(=O)OC[*:*])c([*:*])n3[B-]2(F)F)C(c2ccccc2)=C1[*:*],CC1=[N+]2C(=Cc3c(-c4ccccc4)c(C(=O)OC[*:1])c([*:2])n3[B-]2(F)F)C(c2ccccc2)=C1[*:3]
O=CC[*:*] --->>>--- CN1C(=CC=C[*:*])C=Cc2ccccc21,CCOC(=O)c1c(-c2ccccc2)c2n(c1[*:*])[B-](F)(F)[N+]1=C([*:*])C([*:*])=C(c3ccccc3)C1=C2,CCOC(=O)c1c(-c2ccccc2)c2n(c1[*:1])[B-](F)(F)[N+]1=C([*:2])C([*:3])=C(c3ccccc3)C1=C2
O=CC[*:*] --->>>--- CN1C(=CC=C[*:*])C=Cc2ccccc21,CCOC(=O)C1=C([*:*])C2=Cc3c([*:*])c(C(=O)OCC)c([*:*])n3[B-](F)(F)[N+]2=C1C,CCOC(=O)C1=C([*:1])C2=Cc3c([*:2])c(C(=O)OCC)c([*:3])n3[B-](F)(F)[N+]2=C1C
O=CC[*:*] --->>>--- CN1C(=CC=C[*:*])C=Cc2ccccc21,CCOC(=O)C1=C([*:*])C2=Cc3c(-c4ccccc4)c([*:*])c([*:*])n3[B-](F)(F)[N+]2=C1C,CCOC(=O)C1=C([*:1])C2=Cc3c(-c4ccccc4)c([*:2])c([*:3])n3[B-](F)(F)[N+]2=C1C
O=CC[*:*] --->>>--- CN1C(=CC=C[*:*])C=Cc2ccccc21,CCOC(=O)C1=C([*:*])C2=Cc3c(-c4ccccc4)c(C(=O)O[*:*])c([*:*])n3[B-](F)(F)[N+]2=C1C,CCOC(=O)C1=C([*:1])C2=Cc3c(-c4ccccc4)c(C(=O)O[*:2])c([*:3])n3[B-](F)(F)[N+]2=C1C
O=CC[*:*] --->>>--- CN1C(=CC=C[*:*])C=Cc2ccccc21,CCOC(=O)C1=C([*:*])C2=Cc3c(-c4ccccc4)c(C(=O)OC[*:*])c([*:*])n3[B-](F)(F)[N+]2=C1C,CCOC(=O)C1=C([*:1])C2=Cc3c(-c4ccccc4)c(C(=O)OC[*:2])c([*:3])n3[B-](F)(F)[N+]2=C1C
O=CC[*:*] --->>>--- CN1C(=CC=C[*:*])C=Cc2ccccc21,CCOC(=O)C1=C([*:*])C2=Cc3c(-c4ccccc4)c(C(=O)OCC)c([*:*])n3[B-](F)(F)[N+]2=C1[*:*],CCOC(=O)C1=C([*:1])C2=Cc3c(-c4ccccc4)c(C(=O)OCC)c([*:2])n3[B-](F)(F)[N+]2=C1[*:3]
O=CC[*:*] --->>>--- CN1C(=CC=C[*:*])C=Cc2ccccc21,CCOC(=O)C1=C(c2ccccc2)C2=Cc3c([*:*])c([*:*])c([*:*])n3[B-](F)(F)[N+]2=C1C,CCOC(=O)C1=C(c2ccccc2)C2=Cc3c([*:1])c([*:2])c([*:3])n3[B-](F)(F)[N+]2=C1C
O=CC[*:*] --->>>--- CN1C(=CC=C[*:*])C=Cc2ccccc21,CCOC(=O)C1=C(c2ccccc2)C2=Cc3c([*:*])c(C(=O)O[*:*])c([*:*])n3[B-](F)(F)[N+]2=C1C,CCOC(=O)C1=C(c2ccccc2)C2=Cc3c([*:1])c(C(=O)O[*:2])c([*:3])n3[B-](F)(F)[N+]2=C1C
O=CC[*:*] --->>>--- CN1C(=CC=C[*:*])C=Cc2ccccc21,CCOC(=O)C1=C(c2ccccc2)C2=Cc3c([*:*])c(C(=O)OC[*:*])c([*:*])n3[B-](F)(F)[N+]2=C1C,CCOC(=O)C1=C(c2ccccc2)C2=Cc3c([*:1])c(C(=O)OC[*:2])c([*:3])n3[B-](F)(F)[N+]2=C1C
O=CC[*:*] --->>>--- CN1C(=CC=C[*:*])C=Cc2ccccc21,CCOC(=O)C1=C(c2ccccc2)C2=Cc3c([*:*])c(C(=O)OCC)c([*:*])n3[B-](F)(F)[N+]2=C1[*:*],CCOC(=O)C1=C(c2ccccc2)C2=Cc3c([*:1])c(C(=O)OCC)c([*:2])n3[B-](F)(F)[N+]2=C1[*:3]
O=CC[*:*] --->>>--- CN1C(=CC=C[*:*])C=Cc2ccccc21,CCOC(=O)C1=C(c2ccccc2)C2=Cc3c(-c4ccccc4)c([*:*])c([*:*])n3[B-](F)(F)[N+]2=C1[*:*],CCOC(=O)C1=C(c2ccccc2)C2=Cc3c(-c4ccccc4)c([*:1])c([*:2])n3[B-](F)(F)[N+]2=C1[*:3]
O=CC[*:*] --->>>--- CN1C(=CC=C[*:*])C=Cc2ccccc21,CCOC(=O)C1=C(c2ccccc2)C2=Cc3c(-c4ccccc4)c(C(=O)O[*:*])c([*:*])n3[B-](F)(F)[N+]2=C1[*:*],CCOC(=O)C1=C(c2ccccc2)C2=Cc3c(-c4ccccc4)c(C(=O)O[*:1])c([*:2])n3[B-](F)(F)[N+]2=C1[*:3]
O=CC[*:*] --->>>--- CN1C(=CC=C[*:*])C(C)(C)c2ccccc21,CCOC(=O)C1=C(c2ccccc2)C2=Cc3c(-c4ccccc4)c(C(=O)OCC)c([*:*])n3[B-](F)(F)[N+]2=C1[*:*],CCOC(=O)C1=C(c2ccccc2)C2=Cc3c(-c4ccccc4)c(C(=O)OCC)c([*:1])n3[B-](F)(F)[N+]2=C1[*:2]
O=CC[*:*] --->>>--- CN1C(=CC=C[*:*])C(C)(C)c2ccccc21,CCOC(=O)c1c(-c2ccccc2)c2n(c1[*:*])[B-](F)(F)[N+]1=C(C)C(C(=O)OC[*:*])=C(c3ccccc3)C1=C2,CCOC(=O)c1c(-c2ccccc2)c2n(c1[*:1])[B-](F)(F)[N+]1=C(C)C(C(=O)OC[*:2])=C(c3ccccc3)C1=C2
